date_key,month,day,year,weekend,season_canada
170,1,7,89,yes,summer,summer
171,1,7,89,yes,summer,summer
172,1,5,89,no,spring,spring
173,9,5,89,no,spring,spring
174,11,5,89,no,spring,spring
175,20,9,89,no,summer,summer
176,22,7,89,yes,summer,summer
177,22,7,89,yes,summer,summer
178,10,9,89,yes,summer,summer
179,10,9,89,yes,summer,summer
180,12,9,89,no,summer,summer
181,12,9,89,no,summer,summer
182,29,9,89,no,fall,fall
183,29,9,89,no,fall,fall
184,2,10,89,no,fall,fall
185,2,10,89,no,fall,fall
186,8,11,89,no,fall,fall
187,12,11,89,yes,fall,fall
188,7,12,89,no,winter,winter
189,7,12,89,no,winter,winter
190,12,12,89,no,fall,fall
191,25,12,89,no,winter,winter
192,25,12,89,no,winter,winter
193,9,12,90,yes,winter,winter
194,9,12,90,yes,winter,winter
195,1,1,90,no,winter,winter
196,9,7,90,no,summer,summer
197,9,7,90,no,summer,summer
198,20,7,90,no,summer,summer
199,20,7,90,no,summer,summer
200,23,7,90,no,summer,summer
201,23,7,90,no,summer,summer
202,28,5,10,no,spring,spring
203,30,5,10,yes,spring,spring
204,18,12,89,no,fall,fall
205,17,1,90,no,winter,winter
206,11,2,90,yes,winter,winter
207,11,2,90,yes,winter,winter
208,12,2,90,no,winter,winter
209,28,2,90,no,winter,winter
210,23,2,90,no,winter,winter
211,23,2,90,no,winter,winter
212,19,3,90,no,winter,winter
213,19,3,90,no,winter,winter
214,23,4,90,no,spring,spring
215,23,4,90,no,spring,spring
216,27,3,91,no,spring,spring
217,27,3,91,no,spring,spring
218,16,5,90,no,spring,spring
219,19,5,90,yes,spring,spring
220,25,5,90,no,spring,spring
221,4,7,90,no,summer,summer
222,1,8,90,no,summer,summer
223,1,8,90,no,summer,summer
224,1,8,90,no,summer,summer
225,1,8,90,no,summer,summer
226,29,8,90,no,summer,summer
227,29,8,90,no,summer,summer
228,12,6,90,no,spring,spring
229,12,6,90,no,spring,spring
230,11,7,90,no,summer,summer
231,26,9,90,no,fall,fall
232,8,11,90,no,fall,fall
233,13,11,90,no,fall,fall
234,16,12,90,yes,fall,fall
235,16,12,90,yes,fall,fall
236,17,6,10,no,spring,spring
237,17,6,10,no,spring,spring
238,1,1,91,no,winter,winter
239,11,1,91,no,winter,winter
240,11,1,91,no,winter,winter
241,12,3,91,no,winter,winter
242,12,3,91,no,winter,winter
243,1,4,91,no,spring,spring
244,1,4,91,no,spring,spring
245,7,4,91,yes,spring,spring
246,8,4,91,no,spring,spring
247,1,5,91,no,spring,spring
248,1,5,91,no,spring,spring
249,8,5,91,no,spring,spring
250,9,5,91,no,spring,spring
251,29,6,91,yes,summer,summer
252,29,6,91,yes,summer,summer
253,3,7,91,no,summer,summer
254,3,7,91,no,summer,summer
255,9,7,91,no,summer,summer
256,10,7,91,no,summer,summer
257,11,7,91,no,summer,summer
258,11,7,91,no,summer,summer
259,22,7,91,no,summer,summer
260,22,7,91,no,summer,summer
261,22,7,91,no,summer,summer
262,22,7,91,no,summer,summer
263,5,8,91,no,summer,summer
264,5,8,91,no,summer,summer
265,19,8,91,no,summer,summer
266,19,8,91,no,summer,summer
267,27,8,91,no,summer,summer
268,27,8,91,no,summer,summer
269,29,8,91,no,summer,summer
270,1,9,91,yes,summer,summer
271,7,9,91,yes,fall,fall
272,7,9,91,yes,fall,fall
273,26,9,91,no,fall,fall
274,26,9,91,no,fall,fall
275,1,10,91,no,fall,fall
276,1,10,91,no,fall,fall
277,8,10,91,no,fall,fall
278,8,10,91,no,fall,fall
279,16,10,91,no,fall,fall
280,16,10,91,no,fall,fall
281,25,10,91,no,fall,fall
282,3,11,91,yes,fall,fall
283,8,10,91,no,fall,fall
284,14,10,91,no,fall,fall
285,20,11,91,no,fall,fall
286,20,11,91,no,fall,fall
287,30,11,91,yes,fall,fall
288,30,11,91,yes,fall,fall
289,6,12,91,no,winter,winter
290,6,12,91,no,winter,winter
291,1,1,92,no,winter,winter
292,21,1,92,no,winter,winter
293,21,1,92,no,winter,winter
294,1,2,92,yes,winter,winter
295,4,2,92,no,winter,winter
296,16,2,92,yes,winter,winter
297,16,2,92,yes,winter,winter
298,28,8,92,no,summer,summer
299,28,8,92,no,summer,summer
300,28,8,92,no,summer,summer
301,28,8,92,no,summer,summer
302,31,1,92,no,winter,winter
303,31,1,92,no,winter,winter
304,28,2,92,no,winter,winter
305,4,3,92,no,spring,spring
306,12,3,92,no,winter,winter
307,12,3,92,no,winter,winter
308,13,3,92,no,winter,winter
309,13,3,92,no,winter,winter
310,19,3,92,no,winter,winter
311,19,3,92,no,winter,winter
312,26,3,92,no,spring,spring
313,26,3,92,no,spring,spring
314,25,4,92,yes,spring,spring
315,25,4,92,yes,spring,spring
316,9,5,92,yes,spring,spring
317,9,5,92,yes,spring,spring
318,18,5,92,no,spring,spring
319,18,5,92,no,spring,spring
320,25,5,92,no,spring,spring
321,25,5,92,no,spring,spring
322,31,7,92,no,summer,summer
323,31,7,92,no,summer,summer
324,31,7,92,no,summer,summer
325,31,7,92,no,summer,summer
326,18,12,92,no,fall,fall
327,18,12,92,no,fall,fall
328,17,6,92,no,spring,spring
329,30,7,92,no,summer,summer
330,18,9,92,no,summer,summer
331,18,9,92,no,summer,summer
332,6,10,92,no,fall,fall
333,6,10,92,no,fall,fall
334,21,12,92,no,winter,winter
335,21,12,92,no,winter,winter
336,1,1,93,no,winter,winter
337,15,3,93,no,winter,winter
338,15,3,93,no,winter,winter
339,12,4,93,no,spring,spring
340,12,4,93,no,spring,spring
341,27,4,93,no,spring,spring
342,27,4,93,no,spring,spring
343,29,7,93,no,summer,summer
344,29,7,93,no,summer,summer
345,29,7,93,no,summer,summer
346,30,7,93,no,summer,summer
347,29,7,93,no,summer,summer
348,29,7,93,no,summer,summer
349,4,7,93,yes,summer,summer
350,4,7,93,yes,summer,summer
351,14,7,93,no,summer,summer
352,14,7,93,no,summer,summer
353,25,7,93,yes,summer,summer
354,14,8,93,yes,summer,summer
355,17,10,93,yes,fall,fall
356,17,10,93,yes,fall,fall
357,1,11,93,no,fall,fall
358,1,3,94,no,winter,winter
359,26,11,93,no,fall,fall
360,26,11,93,no,fall,fall
361,23,1,94,yes,winter,winter
362,6,2,94,yes,winter,winter
363,5,1,94,no,winter,winter
364,5,1,94,no,winter,winter
365,16,1,94,yes,winter,winter
366,17,1,94,no,winter,winter
367,28,1,94,no,winter,winter
368,28,1,94,no,winter,winter
369,16,4,94,yes,spring,spring
370,26,4,94,no,spring,spring
371,18,5,94,no,spring,spring
372,18,5,94,no,spring,spring
373,22,5,94,yes,spring,spring
374,22,5,94,yes,spring,spring
375,18,6,94,yes,spring,spring
376,18,6,94,yes,spring,spring
377,24,7,94,yes,summer,summer
378,24,7,94,yes,summer,summer
379,1,1,95,yes,winter,winter
380,4,7,95,no,summer,summer
381,4,7,95,no,summer,summer
382,25,5,94,no,spring,spring
383,25,5,94,no,spring,spring
384,1,8,94,no,summer,summer
385,1,8,94,no,summer,summer
386,4,8,94,no,summer,summer
387,4,8,94,no,summer,summer
388,4,8,94,no,summer,summer
389,4,8,94,no,summer,summer
390,27,8,94,yes,summer,summer
391,27,8,94,yes,summer,summer
392,28,8,94,yes,summer,summer
393,28,8,94,yes,summer,summer
394,17,10,94,no,fall,fall
395,17,10,94,no,fall,fall
396,21,10,94,no,fall,fall
397,21,10,94,no,fall,fall
398,8,12,94,no,winter,winter
399,12,12,94,no,fall,fall
400,21,1,95,yes,winter,winter
401,21,1,95,yes,winter,winter
402,10,3,95,no,winter,winter
403,10,3,95,no,winter,winter
404,29,5,95,no,spring,spring
405,29,5,95,no,spring,spring
406,1,4,95,yes,spring,spring
407,1,4,95,yes,spring,spring
408,5,6,95,no,summer,summer
409,9,6,95,no,summer,summer
410,6,6,95,no,summer,summer
411,15,6,95,no,spring,spring
412,10,7,95,no,summer,summer
413,10,7,95,no,summer,summer
414,13,7,95,no,summer,summer
415,15,7,95,yes,summer,summer
416,30,7,95,yes,summer,summer
417,30,7,95,yes,summer,summer
418,11,8,95,no,summer,summer
419,11,8,95,no,summer,summer
420,11,9,95,no,summer,summer
421,11,9,95,no,summer,summer
422,26,9,95,no,fall,fall
423,26,9,95,no,fall,fall
424,5,10,95,no,fall,fall
425,6,10,95,no,fall,fall
426,16,11,95,no,fall,fall
427,16,11,95,no,fall,fall
428,10,12,95,yes,fall,fall
429,11,12,95,no,fall,fall
430,27,11,95,no,fall,fall
431,29,11,95,no,fall,fall
432,1,1,96,no,winter,winter
433,17,2,96,yes,winter,winter
434,19,2,96,no,winter,winter
435,20,4,96,yes,spring,spring
436,20,4,96,yes,spring,spring
437,17,5,96,no,spring,spring
438,19,5,96,yes,spring,spring
439,5,7,96,no,summer,summer
440,6,7,96,yes,summer,summer
441,16,7,96,no,summer,summer
442,16,7,96,no,summer,summer
443,18,4,96,no,spring,spring
444,8,5,96,no,spring,spring
445,17,6,96,no,spring,spring
446,21,6,96,no,summer,summer
447,16,7,96,no,summer,summer
448,18,7,96,no,summer,summer
449,24,7,96,no,summer,summer
450,25,7,96,no,summer,summer
451,8,8,96,no,summer,summer
452,29,11,96,no,fall,fall
453,29,11,96,no,fall,fall
454,29,12,96,yes,winter,winter
455,29,12,96,yes,winter,winter
456,1,1,97,no,winter,winter
457,9,1,97,no,winter,winter
458,9,1,97,no,winter,winter
459,18,3,97,no,winter,winter
460,24,3,97,no,spring,spring
461,30,3,97,yes,spring,spring
462,3,4,97,no,spring,spring
463,29,10,06,yes,fall,fall
464,29,10,06,yes,fall,fall
465,19,4,97,yes,spring,spring
466,23,4,97,no,spring,spring
467,22,4,97,no,spring,spring
468,14,5,97,no,spring,spring
469,1,5,97,no,spring,spring
470,1,5,97,no,spring,spring
471,29,5,97,no,spring,spring
472,29,5,97,no,spring,spring
473,10,6,97,no,spring,spring
474,10,6,97,no,spring,spring
475,13,5,07,yes,spring,spring
476,13,5,07,yes,spring,spring
477,12,6,97,no,spring,spring
478,12,6,97,no,spring,spring
479,17,6,97,no,spring,spring
480,20,6,97,no,spring,spring
481,10,7,97,no,summer,summer
482,10,7,97,no,summer,summer
483,11,7,97,no,summer,summer
484,11,7,97,no,summer,summer
485,13,10,97,no,fall,fall
486,13,10,97,no,fall,fall
487,1,1,98,no,winter,winter
488,4,1,98,yes,winter,winter
489,10,1,98,yes,winter,winter
490,16,1,98,no,winter,winter
491,16,1,98,no,winter,winter
492,9,3,98,no,spring,spring
493,10,3,98,no,winter,winter
494,1,1,99,no,winter,winter
495,3,1,99,yes,winter,winter
496,3,1,99,yes,winter,winter
497,31,7,08,no,summer,summer
498,4,8,08,no,summer,summer
499,28,3,98,yes,spring,spring
500,15,4,98,no,spring,spring
501,5,5,98,no,spring,spring
502,21,5,98,no,spring,spring
503,18,6,98,no,spring,spring
504,18,6,98,no,spring,spring
505,4,7,98,yes,summer,summer
506,31,7,98,no,summer,summer
507,10,7,98,no,summer,summer
508,10,7,98,no,summer,summer
509,4,7,98,yes,summer,summer
510,5,7,98,yes,summer,summer
511,22,7,98,no,summer,summer
512,31,7,98,no,summer,summer
513,1,8,98,yes,summer,summer
514,1,8,98,yes,summer,summer
515,10,8,98,no,summer,summer
516,17,8,98,no,summer,summer
517,24,12,98,no,winter,winter
518,29,12,98,no,winter,winter
519,2,9,98,no,summer,summer
520,2,9,98,no,summer,summer
521,23,11,98,no,fall,fall
522,25,11,98,no,fall,fall
523,13,2,99,yes,winter,winter
524,13,2,99,yes,winter,winter
525,21,2,99,yes,winter,winter
526,21,2,99,yes,winter,winter
527,13,1,99,no,winter,winter
528,15,1,99,no,winter,winter
529,25,1,99,no,winter,winter
530,25,1,99,no,winter,winter
531,29,1,99,no,winter,winter
532,29,1,99,no,winter,winter
533,11,2,99,no,winter,winter
534,11,2,99,no,winter,winter
535,1,3,99,no,winter,winter
536,30,7,99,no,summer,summer
537,5,3,99,no,spring,spring
538,5,3,99,no,spring,spring
539,1,4,99,no,spring,spring
540,1,4,99,no,spring,spring
541,1,4,99,no,spring,spring
542,30,6,99,no,summer,summer
543,23,4,99,no,spring,spring
544,23,4,99,no,spring,spring
545,1,4,99,no,spring,spring
546,31,5,99,no,spring,spring
547,4,5,99,no,spring,spring
548,4,5,99,no,spring,spring
549,12,6,99,yes,spring,spring
550,22,6,99,no,summer,summer
551,16,6,99,no,spring,spring
552,25,6,99,no,summer,summer
553,18,6,99,no,spring,spring
554,19,6,99,yes,spring,spring
555,21,6,99,no,summer,summer
556,21,6,99,no,summer,summer
557,28,6,99,no,summer,summer
558,1,7,99,no,summer,summer
559,4,7,99,yes,summer,summer
560,5,7,99,no,summer,summer
561,6,7,99,no,summer,summer
562,6,7,99,no,summer,summer
563,16,7,99,no,summer,summer
564,16,7,99,no,summer,summer
565,9,8,99,no,summer,summer
566,9,8,99,no,summer,summer
567,3,9,99,no,fall,fall
568,3,9,99,no,fall,fall
569,7,9,99,no,fall,fall
570,7,9,99,no,fall,fall
571,7,9,99,no,fall,fall
572,7,9,99,no,fall,fall
573,23,9,99,no,fall,fall
574,23,9,99,no,fall,fall
575,24,9,99,no,fall,fall
576,24,9,99,no,fall,fall
577,1,10,99,no,fall,fall
578,1,10,99,no,fall,fall
579,7,12,99,no,winter,winter
580,7,12,99,no,winter,winter
581,30,12,99,no,winter,winter
582,30,12,99,no,winter,winter
583,17,1,00,no,winter,winter
584,22,1,00,yes,winter,winter
585,13,4,00,no,spring,spring
586,14,4,00,no,spring,spring
587,20,4,00,no,spring,spring
588,21,4,00,no,spring,spring
589,14,7,00,no,summer,summer
590,14,7,00,no,summer,summer
591,1,8,00,no,summer,summer
592,1,8,00,no,summer,summer
593,19,5,00,no,spring,spring
594,14,7,00,no,summer,summer
595,3,7,00,no,summer,summer
596,3,7,00,no,summer,summer
597,7,7,00,no,summer,summer
598,14,7,00,no,summer,summer
599,29,10,00,yes,fall,fall
600,29,10,00,yes,fall,fall
601,2,11,00,no,fall,fall
602,11,11,00,yes,fall,fall
603,27,11,00,no,fall,fall
604,27,11,00,no,fall,fall
605,10,2,01,yes,winter,winter
606,10,2,01,yes,winter,winter
607,1,4,01,yes,spring,spring
608,1,4,01,yes,spring,spring
609,1,6,01,no,spring,spring
610,1,6,01,no,spring,spring
611,31,7,01,no,summer,summer
612,31,7,01,no,summer,summer
613,1,7,01,yes,summer,summer
614,1,7,01,yes,summer,summer
615,11,9,01,no,summer,summer
616,11,9,01,no,summer,summer
617,19,9,01,no,summer,summer
618,19,9,01,no,summer,summer
619,14,4,02,yes,spring,spring
620,14,4,02,yes,spring,spring
621,20,5,02,no,spring,spring
622,20,5,02,no,spring,spring
623,14,5,02,no,spring,spring
624,14,5,02,no,spring,spring
625,17,5,02,no,spring,spring
626,7,6,02,no,summer,summer
627,20,5,02,no,spring,spring
628,22,5,02,no,spring,spring
629,30,5,02,no,spring,spring
630,30,5,02,no,spring,spring
631,1,5,02,no,spring,spring
632,1,5,02,no,spring,spring
633,9,6,02,yes,summer,summer
634,9,6,02,yes,summer,summer
635,11,6,02,no,spring,spring
636,11,6,02,no,spring,spring
637,11,6,02,no,spring,spring
638,11,6,02,no,spring,spring
639,21,6,02,no,summer,summer
640,21,6,02,no,summer,summer
641,23,6,02,yes,summer,summer
642,23,6,02,yes,summer,summer
643,24,6,02,no,summer,summer
644,24,6,02,no,summer,summer
645,28,6,02,no,summer,summer
646,30,6,02,yes,summer,summer
647,28,6,02,no,summer,summer
648,1,7,02,no,summer,summer
649,2,7,02,no,summer,summer
650,2,7,02,no,summer,summer
651,3,7,02,no,summer,summer
652,3,7,02,no,summer,summer
653,30,7,02,no,summer,summer
654,30,7,02,no,summer,summer
655,1,7,02,no,summer,summer
656,1,7,02,no,summer,summer
657,12,8,02,no,summer,summer
658,12,8,02,no,summer,summer
659,16,11,02,yes,fall,fall
660,16,11,02,yes,fall,fall
661,21,1,03,no,winter,winter
662,21,1,03,no,winter,winter
663,21,2,03,no,winter,winter
664,21,2,03,no,winter,winter
665,15,2,03,yes,winter,winter
666,15,2,03,yes,winter,winter
667,31,3,03,no,spring,spring
668,31,3,03,no,spring,spring
669,31,3,03,no,spring,spring
670,31,3,03,no,spring,spring
671,31,3,03,no,spring,spring
672,31,3,03,no,spring,spring
673,1,4,03,no,spring,spring
674,31,10,03,no,fall,fall
675,19,5,03,no,spring,spring
676,19,5,03,no,spring,spring
677,1,7,03,no,summer,summer
678,31,8,03,yes,summer,summer
679,21,7,03,no,summer,summer
680,21,7,03,no,summer,summer
681,4,8,03,no,summer,summer
682,4,8,03,no,summer,summer
683,14,8,03,no,summer,summer
684,14,8,03,no,summer,summer
685,29,9,03,no,fall,fall
686,29,9,03,no,fall,fall
687,16,10,03,no,fall,fall
688,23,10,03,no,fall,fall
689,18,2,04,no,winter,winter
690,20,2,04,no,winter,winter
691,24,3,04,no,spring,spring
692,26,3,04,no,spring,spring
693,19,5,04,no,spring,spring
694,19,5,04,no,spring,spring
695,8,7,04,no,summer,summer
696,8,7,04,no,summer,summer
697,2,7,04,no,summer,summer
698,11,7,04,yes,summer,summer
699,21,7,04,no,summer,summer
700,21,7,04,no,summer,summer
701,10,8,04,no,summer,summer
702,10,8,04,no,summer,summer
703,13,8,04,no,summer,summer
704,14,8,04,yes,summer,summer
705,26,12,04,yes,winter,winter
706,26,12,04,yes,winter,winter
707,27,12,04,no,winter,winter
708,27,12,04,no,winter,winter
709,17,1,05,no,winter,winter
710,31,1,05,no,winter,winter
711,30,3,05,no,spring,spring
712,31,3,05,no,spring,spring
713,23,4,05,yes,spring,spring
714,23,4,05,yes,spring,spring
715,9,4,05,yes,spring,spring
716,15,5,05,yes,spring,spring
717,11,5,05,no,spring,spring
718,14,5,05,yes,spring,spring
719,25,5,05,no,spring,spring
720,27,5,05,no,spring,spring
721,29,5,05,yes,spring,spring
722,29,5,05,yes,spring,spring
723,2,6,05,no,spring,spring
724,2,6,05,no,spring,spring
725,6,6,05,no,summer,summer
726,23,6,05,no,summer,summer
727,23,6,05,no,summer,summer
728,28,8,05,yes,summer,summer
729,28,8,05,yes,summer,summer
730,31,8,05,no,summer,summer
731,31,8,05,no,summer,summer
732,27,9,05,no,fall,fall
733,27,9,05,no,fall,fall
734,28,9,05,no,fall,fall
735,28,9,05,no,fall,fall
736,24,9,05,yes,fall,fall
737,24,9,05,yes,fall,fall
738,26,10,05,no,fall,fall
739,26,10,05,no,fall,fall
740,13,12,05,no,fall,fall
741,13,12,05,no,fall,fall
742,4,2,06,yes,winter,winter
743,4,2,06,yes,winter,winter
744,13,4,06,no,spring,spring
745,13,4,06,no,spring,spring
746,23,4,06,yes,spring,spring
747,23,4,06,yes,spring,spring
748,20,5,06,yes,spring,spring
749,20,5,06,yes,spring,spring
750,16,6,06,no,spring,spring
751,18,6,06,yes,spring,spring
752,27,5,06,yes,spring,spring
753,27,5,06,yes,spring,spring
754,3,7,06,no,summer,summer
755,5,7,06,no,summer,summer
756,4,7,06,no,summer,summer
757,7,7,06,no,summer,summer
758,6,7,06,no,summer,summer
759,6,7,06,no,summer,summer
760,24,7,06,no,summer,summer
761,24,7,06,no,summer,summer
762,15,8,06,no,summer,summer
763,15,8,06,no,summer,summer
764,15,8,06,no,summer,summer
765,15,8,06,no,summer,summer
766,19,8,06,yes,summer,summer
767,19,8,06,yes,summer,summer
768,28,10,06,yes,fall,fall
769,28,10,06,yes,fall,fall
770,1,12,06,no,fall,fall
771,2,12,06,yes,fall,fall
772,20,12,06,no,fall,fall
773,20,12,06,no,fall,fall
774,11,12,06,no,fall,fall
775,11,12,06,no,fall,fall
776,12,3,07,no,winter,winter
777,12,3,07,no,winter,winter
778,3,4,07,no,spring,spring
779,13,4,07,no,spring,spring
780,19,4,07,no,spring,spring
781,19,4,07,no,spring,spring
782,23,4,07,no,spring,spring
783,23,4,07,no,spring,spring
784,28,4,07,yes,spring,spring
785,28,4,07,yes,spring,spring
786,10,5,07,no,spring,spring
787,10,5,07,no,spring,spring
788,25,5,07,no,spring,spring
789,25,5,07,no,spring,spring
790,25,5,07,no,spring,spring
791,25,5,07,no,spring,spring
792,27,5,07,yes,spring,spring
793,27,5,07,yes,spring,spring
794,3,6,07,yes,summer,summer
795,3,6,07,yes,summer,summer
796,5,6,07,no,summer,summer
797,5,6,07,no,summer,summer
798,16,6,07,yes,spring,spring
799,17,6,07,yes,spring,spring
800,5,7,07,no,summer,summer
801,5,7,07,no,summer,summer
802,21,7,07,yes,summer,summer
803,21,7,07,yes,summer,summer
804,22,6,07,no,summer,summer
805,22,6,07,no,summer,summer
806,19,7,07,no,summer,summer
807,26,7,07,no,summer,summer
808,1,8,07,no,summer,summer
809,1,8,07,no,summer,summer
810,4,8,07,yes,summer,summer
811,7,8,07,no,summer,summer
812,8,8,07,no,summer,summer
813,9,8,07,no,summer,summer
814,12,11,07,no,fall,fall
815,12,11,07,no,fall,fall
816,17,12,07,no,fall,fall
817,17,12,07,no,fall,fall
818,10,12,07,no,fall,fall
819,10,12,07,no,fall,fall
820,28,1,08,no,winter,winter
821,28,1,08,no,winter,winter
822,14,2,08,no,winter,winter
823,14,2,08,no,winter,winter
824,18,2,08,no,winter,winter
825,18,2,08,no,winter,winter
826,21,3,08,no,spring,spring
827,21,3,08,no,spring,spring
828,14,4,08,no,spring,spring
829,14,4,08,no,spring,spring
830,14,4,08,no,spring,spring
831,14,4,08,no,spring,spring
832,17,4,08,no,spring,spring
833,17,4,08,no,spring,spring
834,25,4,08,no,spring,spring
835,25,4,08,no,spring,spring
836,28,4,08,no,spring,spring
837,2,5,08,no,spring,spring
838,30,5,08,no,spring,spring
839,30,5,08,no,spring,spring
840,9,5,08,no,spring,spring
841,9,5,08,no,spring,spring
842,16,5,08,no,spring,spring
843,19,5,08,no,spring,spring
844,10,6,08,no,spring,spring
845,10,6,08,no,spring,spring
846,28,5,08,no,spring,spring
847,28,5,08,no,spring,spring
848,24,5,08,yes,spring,spring
849,24,5,08,yes,spring,spring
850,31,5,08,yes,spring,spring
851,31,5,08,yes,spring,spring
852,10,6,08,no,spring,spring
853,13,6,08,no,spring,spring
854,13,6,08,no,spring,spring
855,13,6,08,no,spring,spring
856,29,6,08,yes,summer,summer
857,29,6,08,yes,summer,summer
858,30,6,08,no,summer,summer
859,30,6,08,no,summer,summer
860,11,7,08,no,summer,summer
