"year","season_canada","month","day","disaster_group","total_count"
1988,"spring",5,24,"Technology","1"
1988,"spring",5,10,"Technology","1"
1988,"spring",5,8,"Technology","1"
1988,"summer",8,23,"Technology","1"
1988,"fall",12,17,"Technology","1"
1989,"winter",1,1,"Technology","3"
1989,"winter",3,10,"Technology","1"
1989,"summer",9,12,"Technology","1"
1989,"fall",9,29,"Technology","1"
1989,"fall",10,2,"Technology","1"
1990,"winter",2,23,"Technology","1"
1990,"winter",3,19,"Technology","1"
1990,"spring",4,23,"Technology","1"
1990,"spring",5,16,"Technology","1"
1990,"summer",7,23,"Technology","1"
1991,"winter",1,11,"Technology","1"
1991,"spring",5,1,"Technology","1"
1991,"summer",7,22,"Technology","1"
1991,"summer",7,11,"Technology","1"
1991,"summer",7,9,"Technology","1"
1991,"summer",8,5,"Technology","1"
1991,"fall",9,26,"Technology","1"
1991,"fall",10,8,"Technology","1"
1991,"fall",11,20,"Technology","1"
1992,"winter",1,31,"Technology","1"
1992,"winter",1,21,"Technology","1"
1992,"winter",3,19,"Technology","1"
1992,"winter",3,13,"Technology","1"
1992,"winter",12,21,"Technology","1"
1992,"spring",3,26,"Technology","1"
1992,"spring",5,25,"Technology","1"
1992,"spring",5,9,"Technology","1"
1992,"fall",12,18,"Technology","1"
1993,"spring",4,27,"Technology","1"
1993,"summer",7,14,"Technology","1"
1993,"fall",10,17,"Technology","1"
1993,"fall",11,26,"Technology","1"
1994,"spring",5,25,"Technology","1"
1994,"fall",10,21,"Technology","1"
1994,"fall",10,17,"Technology","1"
1995,"winter",1,21,"Technology","1"
1995,"summer",8,11,"Technology","1"
1995,"fall",11,16,"Technology","1"
1997,"summer",7,10,"Technology","1"
1998,"summer",7,10,"Technology","1"
1998,"summer",9,2,"Technology","1"
1999,"winter",1,25,"Technology","1"
1999,"winter",12,30,"Technology","1"
1999,"spring",4,23,"Technology","1"
1999,"summer",7,16,"Technology","3"
1999,"summer",8,9,"Technology","1"
1999,"summer",9,3,"Technology","1"
2000,"summer",8,1,"Technology","1"
2000,"fall",11,27,"Technology","1"
2002,"spring",4,14,"Technology","1"
2002,"spring",5,30,"Technology","1"
2002,"spring",5,14,"Technology","1"
2002,"summer",6,21,"Technology","1"
2002,"summer",7,30,"Technology","1"
2002,"summer",8,12,"Technology","1"
2002,"fall",11,16,"Technology","1"
2003,"summer",8,14,"Technology","3"
2004,"summer",8,10,"Technology","1"
2005,"fall",9,28,"Technology","1"
2005,"fall",12,13,"Technology","1"
2006,"summer",7,24,"Technology","1"
2006,"summer",8,15,"Technology","2"
2007,"spring",5,25,"Technology","1"
2007,"spring",6,3,"Technology","1"
2007,"summer",7,21,"Technology","1"
2007,"summer",7,5,"Technology","1"
2008,"summer",7,20,"Technology","1"
2008,"summer",8,10,"Technology","1"
2011,"summer",8,20,"Technology","1"
2012,"winter",2,26,"Technology","1"
2014,"summer",8,4,"Technology","1"
2015,"winter",3,7,"Technology","1"
2015,"spring",3,28,"Technology","1"
2015,"spring",4,8,"Technology","1"
2015,"summer",6,29,"Technology","1"
2016,"summer",7,21,"Technology","1"
2016,"summer",8,4,"Technology","1"
2016,"fall",10,13,"Technology","1"
